,0
0,ABCA6
1,ABCA8
2,ABCA9
3,ABCA9-AS1
4,ABCC1
5,ABCC9
6,ABI1
7,ABI3BP
8,ABL1
9,ABTB2
10,AC003991.1
11,AC005037.1
12,AC005358.1
13,AC005699.1
14,AC007319.1
15,AC008056.1
16,AC008250.1
17,AC009264.1
18,AC010609.1
19,AC011369.1
20,AC011389.1
21,AC012636.1
22,AC013640.1
23,AC013652.1
24,AC015712.2
25,AC016766.1
26,AC016831.7
27,AC017002.5
28,AC018464.1
29,AC018742.1
30,AC019197.1
31,AC020637.1
32,AC022034.2
33,AC022075.1
34,AC027097.2
35,AC058822.1
36,AC068234.2
37,AC079336.4
38,AC084357.2
39,AC091057.6
40,AC091691.2
41,AC092114.1
42,AC092164.1
43,AC092567.1
44,AC092683.1
45,AC098617.1
46,AC100803.3
47,AC109587.1
48,AC109779.1
49,AC113386.1
50,AC114760.2
51,AC114763.1
52,AC120193.1
53,AC130650.1
54,AC140912.1
55,ACACB
56,ACAP1
57,ACKR1
58,ACLY
59,ACSL1
60,ACSL4
61,ACSM1
62,ACSM3
63,ACSS2
64,ACTA1
65,ACTB
66,ACTC1
67,ACTN4
68,ACVR1C
69,ADAM19
70,ADAM28
71,ADAMTS12
72,ADAMTS2
73,ADAMTS4
74,ADAMTS9
75,ADAMTSL1
76,ADAP2
77,ADARB2
78,ADCY3
79,ADCY4
80,ADD3
81,ADGRB3
82,ADGRD1
83,ADGRF5
84,ADGRL3
85,ADH1B
86,ADIPOQ
87,ADIPOR2
88,ADIRF
89,ADK
90,AFAP1L1
91,AFDN
92,AFF3
93,AGAP1
94,AGAP2
95,AGBL1
96,AGBL4
97,AGL
98,AGPAT2
99,AGT
100,AHCTF1
101,AHCYL2
102,AIFM1
103,AKAP12
104,AKAP6
105,AL034397.3
106,AL109930.1
107,AL117190.2
108,AL132671.2
109,AL138828.1
110,AL139383.1
111,AL139807.1
112,AL157871.4
113,AL450384.2
114,ALCAM
115,ALDH1A2
116,ALKBH3
117,AMPD3
118,ANAPC5
119,ANGPTL1
120,ANGPTL4
121,ANK2
122,ANK3
123,ANKRD1
124,ANKRD2
125,ANKRD44
126,ANKRD45
127,ANKS1B
128,ANKUB1
129,ANLN
130,ANO1
131,ANO2
132,ANXA1
133,AP000561.1
134,AP001021.2
135,AP001825.1
136,AP002518.2
137,AP002989.1
138,AP003108.2
139,APBB1IP
140,APCDD1
141,APOD
142,APPBP2
143,AQP1
144,AQP7
145,ARAP2
146,ARGLU1
147,ARHGAP1
148,ARHGAP15
149,ARHGAP18
150,ARHGAP21
151,ARHGAP24
152,ARHGAP31
153,ARID5B
154,ARL15
155,ARMH4
156,ARPC3
157,ASAP1
158,ASB11
159,ASPH
160,ASPN
161,ASTN2
162,ASXL2
163,ATF3
164,ATF6
165,ATG7
166,ATP10A
167,ATP1A2
168,ATP2B1
169,ATP2B4
170,ATRNL1
171,B2M
172,B3GLCT
173,B4GALT5
174,BACH1
175,BACH2
176,BANP
177,BBX
178,BCKDHB
179,BCL11B
180,BCL2
181,BCL6
182,BCO2
183,BHLHE40
184,BICC1
185,BICD1
186,BICDL1
187,BMP2K
188,BMPR1B
189,BMPR2
190,BMS1P14
191,BNC2
192,BOD1L1
193,BRCA1
194,BRCA2
195,BRD3
196,BRIP1
197,BST2
198,BTBD9
199,BTG2
200,BTNL9
201,C14orf180
202,C1QC
203,C1R
204,C2CD2
205,C3
206,C6
207,C7
208,CA1
209,CA4
210,CACNA2D3
211,CADM1
212,CADM2
213,CADPS
214,CALD1
215,CALM2
216,CAMK1D
217,CARD11
218,CARD8
219,CARMIL1
220,CARMN
221,CASQ2
222,CAV1
223,CAV2
224,CC2D2B
225,CCDC102B
226,CCDC18
227,CCDC3
228,CCDC80
229,CCDC88A
230,CCL2
231,CCL21
232,CCND3
233,CCNH
234,CCSER1
235,CD14
236,CD163
237,CD200
238,CD247
239,CD36
240,CD47
241,CD68
242,CD69
243,CD74
244,CD86
245,CD9
246,CDC42BPA
247,CDC42BPB
248,CDC42EP4
249,CDH13
250,CDH19
251,CDH6
252,CDK13
253,CDK15
254,CDKN1A
255,CDON
256,CELF2
257,CEMIP2
258,CENPK
259,CENPP
260,CEP128
261,CEP350
262,CEP95
263,CFH
264,CFLAR
265,CHD9
266,CHL1
267,CHRM3
268,CHST11
269,CHSY3
270,CKMT2
271,CKMT2-AS1
272,CLASP2
273,CLDN1
274,CLDN5
275,CLEC11A
276,CLEC2D
277,CLEC7A
278,CLIC4
279,CLIC5
280,CLK1
281,CLMN
282,CLMP
283,CLSPN
284,CLSTN2
285,CMIP
286,CMTM6
287,CMTM8
288,CNGA1
289,CNOT6L
290,CNR1
291,CNTN4
292,CNTNAP2
293,COBLL1
294,COL12A1
295,COL14A1
296,COL1A1
297,COL1A2
298,COL21A1
299,COL23A1
300,COL24A1
301,COL27A1
302,COL4A1
303,COL4A2
304,COL4A3
305,COL4A4
306,COL4A5
307,COL5A1
308,COL5A2
309,COL6A3
310,COL6A6
311,COL8A1
312,COL9A3
313,COLGALT2
314,COMT
315,COQ10A
316,CORO2B
317,COX4I2
318,CPA3
319,CPAMD8
320,CPED1
321,CPLX3
322,CPM
323,CPNE8
324,CPXM2
325,CRADD
326,CREB5
327,CRIM1
328,CROT
329,CSDC2
330,CSRNP3
331,CSRP3
332,CST3
333,CTDSPL
334,CTNNA1
335,CTNNA3
336,CTNND2
337,CTSB
338,CTSC
339,CXADR
340,CXCL1
341,CXCL2
342,CYB5R3
343,CYP1B1
344,CYP4Z1
345,CYR61
346,CYTIP
347,CYTOR
348,CYYR1
349,DAPK1
350,DAPK2
351,DCBLD1
352,DCLK1
353,DCN
354,DDAH1
355,DDR2
356,DDX17
357,DDX5
358,DECR1
359,DEDD
360,DENND1A
361,DES
362,DGKH
363,DGLUCY
364,DIAPH3
365,DISC1
366,DKK3
367,DLC1
368,DLG4
369,DNAJA1
370,DNAJC1
371,DNAJC6
372,DNM3
373,DOCK10
374,DOCK3
375,DOCK4
376,DOCK6
377,DOCK8
378,DOCK9
379,DPF3
380,DPP6
381,DPYD
382,DPYSL2
383,DST
384,DSTN
385,DTNB
386,DTX3
387,DUSP1
388,DYM
389,DYNC1I1
390,EBF1
391,ECE1
392,ECHDC2
393,EDC3
394,EDF1
395,EDNRA
396,EFEMP1
397,EFL1
398,EFNA5
399,EGFL7
400,EGFR
401,EHBP1
402,EIF1B
403,EIF2AK3
404,EIF3A
405,EIF4A1
406,ELL2
407,ELMO1
408,ELN
409,EMC10
410,EMCN
411,EMP1
412,ENG
413,ENOSF1
414,ENOX1
415,ENPEP
416,ENTPD1
417,ENTPD1-AS1
418,EPAS1
419,EPB41L2
420,EPG5
421,EPHA4
422,EPHB1
423,ERBB4
424,ERBIN
425,ERH
426,ERICH1
427,ERRFI1
428,ESR2
429,ETFB
430,EVA1C
431,EVI5
432,EVL
433,EWSR1
434,EXOC4
435,EXOC6B
436,EXT1
437,EXTL3
438,EYA4
439,EZR
440,F13A1
441,FABP4
442,FABP5
443,FAF1
444,FAM107B
445,FAM111B
446,FAM126B
447,FAM129A
448,FAM13A
449,FAM155A
450,FAM189A2
451,FAM198B-AS1
452,FAM45A
453,FAM49B
454,FAR2
455,FASN
456,FAT3
457,FBLN2
458,FBLN5
459,FBN1
460,FBXL13
461,FBXL7
462,FBXO21
463,FBXW7
464,FCER1G
465,FCHSD2
466,FER
467,FEZ2
468,FGD4
469,FGF14
470,FGF7
471,FGFR1
472,FHIT
473,FHL2
474,FHL5
475,FHOD3
476,FIGN
477,FILIP1L
478,FKBP5
479,FLI1
480,FLNA
481,FLNC-AS1
482,FLT1
483,FMN1
484,FMO2
485,FN1
486,FN3K
487,FNBP1
488,FNDC3B
489,FOS
490,FOSB
491,FOXO1
492,FOXO3
493,FOXP2
494,FRAS1
495,FRK
496,FRMD4A
497,FRMD4B
498,FRMD5
499,FRMPD2
500,FSTL1
501,FTH1
502,FUT8
503,FYB1
504,FYN
505,G0S2
506,GABPB1-AS1
507,GALK2
508,GALNT17
509,GALNT18
510,GAPVD1
511,GAS7
512,GBE1
513,GCNT2
514,GDAP1
515,GFPT2
516,GGT5
517,GHR
518,GIMAP8
519,GLCCI1
520,GLIS3
521,GMDS
522,GNA12
523,GNA14-AS1
524,GNAQ
525,GNLY
526,GOLGA4
527,GPAM
528,GPATCH8
529,GPBP1
530,GPC6
531,GPM6A
532,GPM6B
533,GPR155
534,GPR20
535,GPR34
536,GPRIN3
537,GPX3
538,GRAMD1B
539,GRB10
540,GREB1L
541,GRIK2
542,GRIP1
543,GRIP2
544,GRK3
545,GSE1
546,GTF2I
547,GTF2IRD2
548,GYG2
549,HAMP
550,HAND2-AS1
551,HAS1
552,HCK
553,HCN1
554,HDAC2-AS2
555,HDAC5
556,HDAC9
557,HDC
558,HEATR3
559,HECTD4
560,HECW2
561,HEG1
562,HELLS
563,HERC2
564,HERPUD1
565,HES4
566,HIF1A
567,HIF3A
568,HIGD1B
569,HIST1H2AC
570,HLA-A
571,HLA-B
572,HLA-C
573,HLA-DRA
574,HNRNPDL
575,HNRNPH1
576,HOOK2
577,HP
578,HPGD
579,HSPA12A
580,HSPA9
581,HSPB7
582,HSPH1
583,HTR4
584,HYAL2
585,ICAM2
586,ID1
587,ID2
588,ID3
589,IER2
590,IER3
591,IFI27
592,IFITM2
593,IFNAR1
594,IFNG-AS1
595,IGF1
596,IGF1R
597,IGFBP2
598,IGFBP7
599,IGKC
600,IGSF21
601,IKBKB
602,IKZF1
603,IL16
604,IL18R1
605,IL1R1
606,IL1RAPL1
607,IL1RAPL2
608,IL7R
609,ILK
610,IMMT
611,INPP4A
612,INPP4B
613,INPP5D
614,INSR
615,IPO9-AS1
616,IQGAP2
617,IRAK3
618,ITGA1
619,ITGA7
620,ITGA8
621,ITGA9
622,ITGB1
623,ITGB8
624,ITIH5
625,ITK
626,ITLN1
627,ITPK1
628,ITPKB-AS1
629,ITPR2
630,ITSN1
631,ITSN2
632,IVD
633,JPH2
634,JUN
635,JUNB
636,JUP
637,KALRN
638,KANK1
639,KANK3
640,KANSL1L
641,KAZN
642,KCNAB1
643,KCNE1
644,KCNE4
645,KCNH5
646,KCNJ3
647,KCNJ8
648,KCNMA1
649,KCNMB2
650,KCNMB2-AS1
651,KCNMB4
652,KCNQ5
653,KCNT2
654,KDM5B
655,KIAA0232
656,KIAA0355
657,KIAA1217
658,KIAA1549
659,KIF13A
660,KIF18B
661,KIF20B
662,KIRREL3
663,KIT
664,KLF12
665,KLF13
666,KLF2
667,KLF6
668,KLHL29
669,KMT2A
670,KMT2E
671,KNTC1
672,KRT18
673,KRT19
674,L3MBTL4
675,LAMA2
676,LAMA3
677,LBH
678,LCP2
679,LDB2
680,LDB3
681,LDLRAD3
682,LEMD3
683,LGI4
684,LGMN
685,LGR6
686,LHFPL2
687,LIAS
688,LIMA1
689,LIMCH1
690,LIMS1
691,LINC00486
692,LINC00598
693,LINC00882
694,LINC01088
695,LINC01091
696,LINC01099
697,LINC01411
698,LINC01568
699,LINC01572
700,LINC01592
701,LINC01828
702,LINC02147
703,LINC02208
704,LINC02240
705,LINC02248
706,LINC02253
707,LINC02388
708,LINC02511
709,LINGO1
710,LIPE
711,LIPE-AS1
712,LMCD1
713,LMO7
714,LMOD1
715,LMOD2
716,LOXL2
717,LPAR1
718,LPAR6
719,LPIN1
720,LPL
721,LRIG1
722,LRMDA
723,LRP1
724,LRP1B
725,LRP2
726,LRRTM3
727,LRRTM4
728,LSAMP
729,LSM14A
730,LST1
731,LTBP1
732,LTBP4
733,LYN
734,LYST
735,LZTS1-AS1
736,MACROD2
737,MAGI1
738,MAGI2
739,MAGT1
740,MAML3
741,MAP3K11
742,MAP4
743,MAPK10
744,MAPK4
745,MARC1
746,MARCH1
747,MARCH3
748,MARK3
749,MAST4
750,MBD5
751,MBNL1
752,MCM7
753,MCTP1
754,MCTP2
755,MDFIC
756,ME1
757,MECOM
758,MED13L
759,MEF2C
760,MEG3
761,MEG8
762,MEIS2
763,MELK
764,MEST
765,MFGE8
766,MGAT5
767,MGP
768,MGST1
769,MGST2
770,MGST3
771,MICALL2
772,MIPEP
773,MIR193BHG
774,MIR22HG
775,MIR29B2CHG
776,MIR4435-2HG
777,MIR99AHG
778,MITF
779,MLIP
780,MLLT10
781,MLLT6
782,MLXIPL
783,MME
784,MMP16
785,MMRN1
786,MMS22L
787,MPZ
788,MRC1
789,MRC2
790,MS4A6A
791,MSC-AS1
792,MSR1
793,MT1E
794,MT2A
795,MTHFD1L
796,MTHFD2
797,MTUS1
798,MX2
799,MYBL1
800,MYBPC3
801,MYCBP2
802,MYH10
803,MYH11
804,MYH13
805,MYH6
806,MYH7
807,MYH7B
808,MYL2
809,MYL3
810,MYL4
811,MYL6
812,MYL7
813,MYO18B
814,MYO1F
815,MYOCD
816,MYOM2
817,MYPN
818,MYRIP
819,MYSM1
820,N4BP2L2
821,NAA35
822,NAIP
823,NAMPT
824,NAV1
825,NAV2
826,NCAM1
827,NCAM2
828,NDRG4
829,NDUFA4L2
830,NDUFAF8
831,NEAT1
832,NEB
833,NEBL
834,NEDD4L
835,NEGR1
836,NEXN
837,NFATC2
838,NFATC2IP
839,NFIB
840,NFKB1
841,NFKBIA
842,NFKBIZ
843,NFRKB
844,NGF
845,NHS
846,NHSL1
847,NID1
848,NIPBL
849,NKAIN2
850,NKAIN3
851,NKTR
852,NLGN1
853,NLGN4X
854,NLK
855,NLRC5
856,NNMT
857,NOL10
858,NOSTRIN
859,NOVA1
860,NPPA
861,NR2F1
862,NR4A1
863,NR4A3
864,NREP
865,NRG2
866,NRG3
867,NRXN1
868,NRXN3
869,NSD3
870,NSMCE2
871,NTM
872,NTN1
873,NTRK3
874,NUP210
875,NUP210L
876,NUP50-DT
877,NUPR1
878,NUSAP1
879,NXN
880,OBSCN
881,ODF2L
882,OGA
883,OGFRL1
884,OLFM2
885,OPCML
886,ORC2
887,OSBPL10
888,OSMR
889,OTUB1
890,P2RY8
891,PABPC4
892,PACS1
893,PAIP1
894,PALLD
